old_url,new_url,redirect_type,traffic,impressions,source,notes
http://www.fesagency.pt/,/,301,31,1834,GSC-Performance,Legacy http/www variant of homepage.
https://fesagency.pt/,/,301,0,1,GSC-Performance,"Bare domain, negligible traffic."
https://fesagency.pt/contact/,/contact/,301,2,1092,GSC-Performance,Contact page — URL simplifies to /contact/ regardless of legacy slug/locale.
https://fesagency.pt/en/,/,200,288,7239,GSC-Performance; GSC-Coverage; ScreamingFrog,
https://fesagency.pt/en/about/,/agency/,301,10,1127,GSC-Performance; GSC-Coverage,"'About' content merges into Agency per confirmed IA (10-years story, culture, 'What is FES Agency'). Notable traffic (10c/1127i) — confirm Agency page covers this content angle."
https://fesagency.pt/en/agency/,/agency/,200,22,1614,GSC-Performance; GSC-Coverage; ScreamingFrog,Survives unchanged (prefix dropped at launch).
https://fesagency.pt/en/careers/,/careers/,200,19,881,GSC-Performance; GSC-Coverage; ScreamingFrog,Survives unchanged; footer-only per confirmed IA (Open Question #3 default until promoted).
https://fesagency.pt/en/contact-us-fes-agency/,/contact/,200,1,846,GSC-Performance; GSC-Coverage; ScreamingFrog,Contact page — URL simplifies to /contact/ regardless of legacy slug/locale.
https://fesagency.pt/en/cookies-policy/,/cookies-policy/,200,7,151,GSC-Performance; GSC-Coverage; ScreamingFrog,"Survives unchanged, legal page."
https://fesagency.pt/en/cookies-policy/#advertising-cookies,/cookies-policy/,301,0,2,GSC-Performance,"Fragment of the cookies-policy page, collapses to the base page (fragments aren't separately redirectable)."
https://fesagency.pt/en/cookies-policy/#analytical-cookies,/cookies-policy/,301,0,2,GSC-Performance,"Fragment of the cookies-policy page, collapses to the base page (fragments aren't separately redirectable)."
https://fesagency.pt/en/cookies-policy/#use-of-cookies,/cookies-policy/,301,0,2,GSC-Performance,"Fragment of the cookies-policy page, collapses to the base page (fragments aren't separately redirectable)."
https://fesagency.pt/en/cookies-policy/#what-are-cookies?,/cookies-policy/,301,0,2,GSC-Performance,"Fragment of the cookies-policy page, collapses to the base page (fragments aren't separately redirectable)."
https://fesagency.pt/en/design-services/,/systems/,301,7,494,GSC-Performance; GSC-Coverage,"Old Services page/subpage — content now folded into Systems (lead-gen hub). No specific Systems sub-page slugs are named yet, so mapped to the hub; re-point to a specific system page once naming lands. Notable traffic (7c/494i) — confirm Systems messaging covers this specific service."
